,gyroscope,light,accelerometer,magnetic,pressure
1282,,,,,
1283,,,28737.0,,
1284,28737.0,,,,
1285,,,,,
1286,,,,28739.0,
1287,,,28740.0,,
1288,28741.0,,,,
1289,,,,,
1290,,28745.0,,,
1291,,,28745.0,,
1292,28745.0,,,,
1293,,,,,
1294,,,28749.0,,
1295,28750.0,,,,
1296,,,,,
1297,,,,28751.0,
1298,,,28753.0,,
1299,28754.0,,,,
1300,,,,,
1301,,,28757.0,,
1302,28758.0,,,,
1303,,,,,
1304,,,28762.0,,
1305,28762.0,,,,
1306,,,,,
1307,,,,28763.0,
1308,,,28766.0,,
1309,28767.0,,,,
1310,,,,,
1311,,,28771.0,,
1312,28772.0,,,,
1313,,,,,
1314,,,28775.0,,
1315,28776.0,,,,
1316,,,,,
1317,,,,28777.0,
1318,,,28779.0,,
1319,28780.0,,,,
1320,,,,,
1321,,,28784.0,,
1322,28784.0,,,,
1323,,,,,
1324,,,28788.0,,
1325,28789.0,,,,
1326,,,,,
1327,,,,28790.0,
1328,,,28792.0,,
1329,28793.0,,,,
1330,,,,,
1331,,,28797.0,,
1332,28797.0,,,,
1333,,,,,
1334,,,28802.0,,
1335,28802.0,,,,
1336,,,,,
1337,,,,28804.0,
1338,,,28806.0,,
1339,28806.0,,,,
1340,,,,,
1341,,,28810.0,,
1342,28810.0,,,,
1343,,,,,
1344,,,28815.0,,
1345,28815.0,,,,
1346,,,,,
1347,,,,28816.0,
1348,,,28819.0,,
1349,28819.0,,,,
1350,,,,,
1351,,,28823.0,,
1352,28823.0,,,,
1353,,,,,
1354,,,28828.0,,
1355,28828.0,,,,
1356,,,,,
1357,,,,28830.0,
1358,,,28832.0,,
1359,28832.0,,,,
1360,,,,,
1361,,,28837.0,,
1362,28837.0,,,,
1363,,,,,
1364,,,28841.0,,
1365,28842.0,,,,
1366,,,,,
1367,,,,28844.0,
1368,,,28845.0,,
1369,28846.0,,,,
1370,,,,,
1371,,,28850.0,,
